Isolate ID,MLST,Count
8686,ST10,30
222A120,ST10,30
A43,ST10,30
BWH_1145_E_col_1,ST10,30
BWH_375_E_col_1,ST10,30
BWH_806_E_col_1,ST10,30
BWH_903_E_col_1,ST10,30
BWH_909_E_col_1,ST10,30
BWH_949_E_col_1,ST10,30
BWH_963_E_col_1,ST10,30
CMZE042,ST10,30
CMZE056,ST10,30
EC2,ST10,30
EC3,ST10,30
H48,ST10,30
MRSN612850,ST10,30
MRSN825064,ST10,30
MRSN831746,ST10,30
MRSN831930,ST10,30
MRSN831948,ST10,30
MRSN832080,ST10,30
PAT1-2,ST10,30
PAT1-5,ST10,30
RECU165,ST10,30
RECU200,ST10,30
RECU224,ST10,30
RECU230,ST10,30
UPEC_46,ST10,30
VUTI244,ST10,30
VUTI488,ST10,30
779,ST101,11
BWH_268_E_col_1,ST101,11
CHL5009T,ST101,11
MS6192,ST101,11
MS6193,ST101,11
MS6194,ST101,11
MS6203,ST101,11
MS6204,ST101,11
MS6207,ST101,11
SMG008F1,ST101,11
XA31,ST101,11
VUTI230,ST104,1
UPEC132,ST10522,1
MRSN831422,ST1057,1
E15,ST106,2
E21,ST106,2
MSHS_472,ST10754,1
MecR,ST10987,2
MecS,ST10987,2
IHSV24,ST11,1
BWH_972_E_col_1,ST111,1
UPEC_965,ST1136,1
E._coli_EC4,ST11605,1
BWH_1509_E_col_1,ST11613,1
PNUECU16,ST1163,1
BWH_483_E_col_1,ST11895,1
BR14_DEC,ST1193,135
BWH_1002_E_col_1,ST1193,135
BWH_1014_E_col_1,ST1193,135
BWH_1017_E_col_1,ST1193,135
BWH_1018_E_col_1,ST1193,135
BWH_1031_E_col_1,ST1193,135
BWH_1081_E_col_1,ST1193,135
BWH_1089_E_col_1,ST1193,135
BWH_1109_E_col_1,ST1193,135
BWH_1223_E_col_1,ST1193,135
BWH_1254_E_col_1,ST1193,135
BWH_1290_E_col_1,ST1193,135
BWH_1301_E_col_1,ST1193,135
BWH_133_E_col_1,ST1193,135
BWH_1508_E_col_1,ST1193,135
BWH_1836_E_col,ST1193,135
BWH_1857_E_col,ST1193,135
BWH_1904_E_col,ST1193,135
BWH_275_E_col_1,ST1193,135
BWH_316_E_col_1,ST1193,135
BWH_825_E_col_1,ST1193,135
BWH_831_E_col_1,ST1193,135
BWH_869_E_col_1,ST1193,135
BWH_874_E_col_1,ST1193,135
BWH_875_E_col_1,ST1193,135
BWH_885_E_col_1,ST1193,135
BWH_902_E_col_1,ST1193,135
BWH_965_E_col_1,ST1193,135
BWH_966_E_col_1,ST1193,135
CMZE011,ST1193,135
CMZE019,ST1193,135
CMZE032,ST1193,135
CMZE052,ST1193,135
CMZE084,ST1193,135
CMZE096,ST1193,135
CMZE125,ST1193,135
CORE_Eco3,ST1193,135
EC650,ST1193,135
EcPF40,ST1193,135
EQ101,ST1193,135
MRSN102004,ST1193,135
MRSN102063,ST1193,135
MRSN102064,ST1193,135
MRSN102067,ST1193,135
MRSN102071,ST1193,135
MRSN102072,ST1193,135
MRSN102073,ST1193,135
MRSN102074,ST1193,135
MRSN102075,ST1193,135
MRSN102076,ST1193,135
MRSN102077,ST1193,135
MRSN102078,ST1193,135
MRSN102079,ST1193,135
MRSN102080,ST1193,135
MRSN102081,ST1193,135
MRSN102082,ST1193,135
