Isolate ID,Closest Phylogenetic Sister Taxa (from Tree),Inferred Clade / Lineage Association,Interpretation
A1.S1.126,A1.S1.18 & 42GP,ST131,ST131 Variant
BWH_139_E_col_1,BWH_883_E_col_1,ST131,ST131 Variant
BWH_205_E_col_1,CMZE095 & CMZE104,ST131,ST131 Variant
BWH_218_E_col_1,BWH_216_E_col_1,ST131,ST131 Variant
CMZE071,MRSN488642,ST131,ST131 Variant
CMZE093,CMZE108,ST131,ST131 Variant
CMZE119,MRSN387404,ST131,ST131 Variant
PNUECU56,PNUECU61 & BWH_365_E_col_1,ST131,ST131 Variant
PNUECU61,PNUECU56 & BWH_365_E_col_1,ST131,ST131 Variant
PNUECU70,BWH_365_E_col_1,ST131,ST131 Variant
RECU206,5EC,ST131,ST131 Variant
UPEC_ECZMYU21,EC1O25bH4ST131,ST131,ST131 Variant
VUTI202,VUTI325,ST131,ST131 Variant
VUTI202_1,CMZE098,ST131,ST131 Variant
BWH_998_E_col_1,28Eco12,ST38,ST38 Variant
CMZE043,GU27,ST38,ST38 Variant
VUTI134,VUTI371,ST38,ST38 Variant
12693,BWH_1299_E_col_1,ST12,ST12 Variant
VUTI180,12693 (Clustered with ST12),ST12,ST12 Variant
PAT23-2_1,PAT23-3_1,ST95,ST95 Variant
26EC,13KWH46,ST602,ST602 Variant
D1,E_coli_N15-72,ST602,ST602 Variant
BWH_1858_E_col,AR_Bank_0349,ST457,Minor ST Variant
BWH_1889_E_col,MRSN832660,ST62,Minor ST Variant
BWH_1903_E_col,PNUECU28 (Near PAT3-3),ST744,Minor ST Variant
PNUECU28,BWH_1903_E_col (Near PAT3-3),ST744,Minor ST Variant
MSHS_133,PNUECU16,ST1163,Minor ST Variant
VUTI404,BWH_1300_E_col_1,ST963,Minor ST Variant
GHA_BE_NMIMRSEQ_2021_1,BWH_351 / BWH_761,ST5614 / ST443,Minor ST Variant
ATCC_700415,Deep branching outgroup,Divergent,Rapidly Evolving / Hybrid
B51,H38 (Deep outgroup branch),Divergent,Rapidly Evolving / Hybrid
H38,B51 (Deep outgroup branch),Divergent,Rapidly Evolving / Hybrid
EC1390,Deep branching outgroup,Divergent,Rapidly Evolving / Hybrid
VUTI215,Deep branching outgroup,Divergent,Rapidly Evolving / Hybrid
