MLST,MGE_Gene,MGE_Type,Target_Gene,Pearson_r,p_value,p_adj_FDR,Significant
ST10,PHAGE_Strept_5093_NC_012753,Phage,afaD,0.9999999999999999,0.0,0.0,True
ST10,PHAGE_Strept_5093_NC_012753,Phage,afaF-III,0.9999999999999999,0.0,0.0,True
ST10,PHAGE_Strept_5093_NC_012753,Phage,draA,0.9999999999999999,0.0,0.0,True
ST10,PHAGE_Strept_5093_NC_012753,Phage,draB,0.9999999999999999,0.0,0.0,True
ST10,Plasmid_IncFII(pCoo),Plasmid,pet,0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Escher_vB_EcoS_IME253_NC_047810,Phage,pet,0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Geobac_E2_NC_009552,Phage,CTX-M-8,0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Geobac_E2_NC_009552,Phage,parC (A108V),0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Mannhe_vB_MhS_535AP2_NC_028853,Phage,sigA,0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Mycoba_Cali_NC_011271,Phage,pet,0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Strept_phiSAJS1_NC_029005,Phage,CTX-M-8,0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,PHAGE_Strept_phiSAJS1_NC_029005,Phage,parC (A108V),0.9999999999999998,1.7340728374719287e-216,1.282130104205807e-212,True
ST10,Plasmid_Col(pHAD28),Plasmid,QnrB5,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Entero_933W_NC_000924,Phage,ykgK/ecpR,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Entero_IME11_NC_019423,Phage,CTX-M-55,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Entero_vB_KleM_RaK2_NC_019526,Phage,CTX-M-55,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Escher_Pollock_NC_027381,Phage,pic,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Escher_SECphi27_NC_047938,Phage,pic,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Escher_tonn_NC_049815,Phage,pic,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Klebsi_K64_1_NC_027399,Phage,CTX-M-55,0.9999999999999994,2.841104936914006e-212,8.618018308639151e-209,True
ST10,PHAGE_Arthro_Maja_NC_048140,Phage,CTX-M-27,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Arthro_Maja_NC_048140,Phage,agg3A,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Arthro_Maja_NC_048140,Phage,agg3B,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Arthro_Maja_NC_048140,Phage,agg3C,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Arthro_Maja_NC_048140,Phage,agg3D,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_B4_NC_018863,Phage,AAC(3)-IId,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_B5S_NC_047736,Phage,AAC(3)-IId,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_4_NC_048641,Phage,CTX-M-27,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_4_NC_048641,Phage,agg3A,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_4_NC_048641,Phage,agg3B,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_4_NC_048641,Phage,agg3C,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_4_NC_048641,Phage,agg3D,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_5_NC_031055,Phage,CTX-M-27,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_5_NC_031055,Phage,agg3A,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_5_NC_031055,Phage,agg3B,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_5_NC_031055,Phage,agg3C,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_PfEFR_5_NC_031055,Phage,agg3D,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_T_NC_024205,Phage,AAC(3)-IId,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_TsarBomba_NC_028890,Phage,AAC(3)-IId,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_phi105_NC_004167,Phage,CTX-M-27,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_phi105_NC_004167,Phage,agg3A,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_phi105_NC_004167,Phage,agg3B,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_phi105_NC_004167,Phage,agg3C,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_phi105_NC_004167,Phage,agg3D,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007,Phage,CTX-M-27,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007,Phage,agg3A,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007,Phage,agg3B,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007,Phage,agg3C,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007,Phage,agg3D,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BceS_MY192_NC_048633,Phage,CTX-M-27,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BceS_MY192_NC_048633,Phage,agg3A,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BceS_MY192_NC_048633,Phage,agg3B,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BceS_MY192_NC_048633,Phage,agg3C,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Bacill_vB_BceS_MY192_NC_048633,Phage,agg3D,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Caulob_karma_NC_019410,Phage,FosA4,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Caulob_karma_NC_019410,Phage,gtrA,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Caulob_karma_NC_019410,Phage,gtrB,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Clostr_phiCD119_NC_007917,Phage,FosA4,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Clostr_phiCD119_NC_007917,Phage,gtrA,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Clostr_phiCD119_NC_007917,Phage,gtrB,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Clostr_phiCD481_1_NC_028951,Phage,FosA4,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
ST10,PHAGE_Clostr_phiCD481_1_NC_028951,Phage,gtrA,0.9999999999999992,4.654866328639893e-208,7.481938677691568e-206,True
