Genomic Feature,ST10,ST101,ST1193,ST12,ST127,ST131,ST167,ST38,ST405,ST410,ST44,ST58,ST617,ST648,ST69,ST73,ST95,Total_Impact
group_40319,0.01733012924906283,0.020626000927472105,0.028871927327678543,0.024591037533403495,0.050611316317110785,0.11432195313694288,0.004981067097277485,0.014109591542347385,0.02751566465493786,0.0050900416799943725,0.01830763937769475,0.017431845532399532,0.006837903901575591,0.008981463914373135,0.021486272765654693,0.02153755768318233,0.01813720703562451,0.4207686196767323
Escherichia_coli_ampC1_beta-lactamase,0.024627507605452008,0.04957839917194915,0.01760390978512721,0.016221438508216054,0.06375694071676874,0.05840314876281258,0.0043145705126639115,0.013598175791665734,0.010551375653469332,0.005181784308902811,0.01211029359672767,0.019414594749523145,0.00536255067161148,0.011756173033244126,0.02306466902185785,0.015686110502297335,0.007888545841845443,0.35912018823413455
group_9882,0.009684684097314062,0.010771202169323826,0.05218066431672837,0.0147659107466187,0.018664058376101245,0.05244449344580694,0.0035902918741016264,0.0058238915482290475,0.005233265233247512,0.0034965914639889365,0.005754089549726582,0.04031063332555055,0.0037490408511027147,0.010619275179641499,0.008269867138518303,0.03297625019971931,0.027399113831722867,0.3057333233474421
feoB,0.01940149249657367,0.034349781505657984,0.018700593617925507,0.008840131627313943,0.028954576406319394,0.04010884111486782,0.0017358254844497638,0.012876906458131452,0.005804402604849675,0.0054126572082749385,0.01714492748128266,0.0071625642819028845,0.0047174942245615924,0.005102261510061537,0.005377189489984135,0.011016289291967093,0.014992994857551959,0.241698929661676
shuT,0.011243902923498167,0.0336929805451053,0.005412598510115304,0.007037960136573042,0.01077493182643965,0.013693883072545043,0.0027756889605232934,0.057897629925515635,0.0181290863553049,0.004674627220511255,0.005821868241309674,0.004270067922231653,0.00478293309626819,0.004235087596692056,0.04092852296154451,0.00422692139506402,0.004311787795488258,0.23391047848472993
group_27895,0.0040876600255372545,0.008682023137227666,0.013550210509993539,0.022625987077130025,0.007586342367765713,0.04822379421085396,0.00127582929707433,0.014013379610525404,0.003042566515172168,0.0019957531449453247,0.0037298277826173084,0.004885680037766044,0.002242631416200262,0.002752194865746469,0.0400477018304602,0.033137889419306926,0.02025631459452829,0.23213578584285088
xylB_1,0.01113541844977017,0.013464511572663216,0.01026127563124241,0.01109479468476296,0.023005788693154776,0.04847363368161075,0.0028399357344136116,0.020139655207734385,0.009413687178480736,0.0023147585987545287,0.007842233770823968,0.007947691981540092,0.003199561127820708,0.004151063857312059,0.03497858121946197,0.010882868297482758,0.010270883698145283,0.23141634338517436
group_28543,0.058407986147542126,0.017033158326580113,0.004184496787451672,0.0030518428660403323,0.0061870090196404545,0.017918031451771038,0.018660245874463795,0.005016502364399276,0.0018337165367847653,0.02496642727203294,0.021414266636362665,0.003928780527963969,0.009473740247728128,0.0025884502717312932,0.004831104048879202,0.0024467705779372454,0.0021267896307686526,0.20406931858807767
group_23446,0.019351382193425554,0.01119221285911487,0.00358715216284919,0.0037733701792944142,0.006515370761053443,0.015523446711132103,0.0033433629753539477,0.0046608768913158375,0.0015288421775496352,0.028408143564451274,0.05894772777750352,0.0035567487874033493,0.003029804388959078,0.003210288199468592,0.004960911651074543,0.0017292916107907984,0.0013928097931695596,0.17471174268390968
group_21874,0.00723657229420757,0.009124483362900733,0.011249003066115823,0.0049748689688406695,0.005414402205915929,0.011004968708092162,0.0016625848628480794,0.004157025099839736,0.003901863460218596,0.0020537824421049656,0.006713476367488627,0.03174128471343803,0.002151642990641264,0.02120955018728589,0.006002652554843396,0.03147564307610081,0.008870485410121698,0.16894428977100398
group_37334,0.010707616448469728,0.005557782916942898,0.005131763303594902,0.006257174366226652,0.0037354328284780027,0.017955807966874612,0.007383995858066746,0.009481094543262458,0.005344964447530172,0.022722430135706257,0.011061567796115638,0.002803534877661335,0.011969074690720236,0.002951874252001109,0.004405740186360795,0.01966204415571946,0.0037416659045995293,0.15087356467833055
group_32683,0.0024911715646290526,0.0036589971349208256,0.043940531723276895,0.02968557011143378,0.012804919493227712,0.020981771187049626,0.0007934448133699256,0.002822418596010732,0.0019077649467312166,0.0014311141461350704,0.0020647300759737077,0.0044812411689213166,0.0012530311029153498,0.0025346479963976242,0.00447847138373253,0.005980026733992717,0.00594235149070328,0.14725220366942132
group_41044,0.0035979074573973184,0.004461881462452474,0.04468724329167843,0.002677396513140708,0.007808826923201267,0.015607915766169222,0.0010553134140192366,0.0018986589382427347,0.0034282416584145207,0.0008770203109109602,0.0017401908176271567,0.005184995280452857,0.0010076772983084732,0.02210971788918094,0.0019738889555214745,0.0058229827944294805,0.00965406359057154,0.1335939223617188
hypF,0.0035137540685015807,0.015412885297850246,0.0035063148294954497,0.0018594820375654037,0.014889411436614056,0.010887131071500467,0.005388606260394307,0.01143335912746901,0.0020474941845281805,0.009179137254899512,0.006682426446744955,0.010992057221997005,0.0033286783893347743,0.0035230410920106007,0.009934652805016927,0.008323632253053666,0.0033292304394685235,0.12423129421644466
group_45719,0.0025521951992044677,0.002132230279353001,0.008184758798648356,0.032860379966571665,0.0043149319636029745,0.01812274928605301,0.0009305488093210487,0.001886270331538906,0.001222033102857094,0.0010745118934647063,0.001628214454449347,0.0016832344217663883,0.0010623788304722284,0.0024007326309473795,0.00495353621287452,0.008234009697933722,0.027521955945915482,0.12076467182497432
yagU_1,0.01229935647183718,0.006034215318467299,0.0034141905436538733,0.0021421005451662655,0.0038602138198701908,0.00820461051301053,0.03233545402739743,0.0032589882870508926,0.0026644541276757707,0.002372049030234917,0.003127719220401289,0.0022561906531574994,0.024731794524706852,0.0019948942140740767,0.002908722588751662,0.0014060171706220645,0.001123526048130736,0.11413449710420853
group_30504,0.004170226336072863,0.0035087126151299363,0.0037602255908018587,0.0012997371503815735,0.0025705768656827063,0.009912146576901659,0.0007876387973015943,0.0076409868743968915,0.02894871839005127,0.001099867963959035,0.002139708631162595,0.0034687430913984876,0.002679257964285622,0.019836722731984217,0.0026466889895444927,0.0017588574941454272,0.0013420661808707314,0.09757088224407097
group_26088,0.0022129299601918195,0.002123493557276426,0.008074123608730496,0.004553034292879702,0.0019692957036388423,0.01015482301631828,0.0009693862147014373,0.0012562348433653046,0.0017706689332436692,0.0010870419050047224,0.001606125893253932,0.0035789281398222335,0.0008146051284423862,0.018915296936408785,0.001645555200477047,0.004491236193598505,0.02739218565453603,0.09261496518188961
group_45847,0.0023798438970523868,0.003149224181368873,0.0027938341306042356,0.0009386423456980485,0.002324029956743901,0.008704559670531894,0.00423860329694676,0.007033308464752593,0.023467573067825803,0.0016462954933447582,0.002072705125165961,0.0017115066386406079,0.020795213685197263,0.001264493400623507,0.0035437003331352515,0.0010307282150737295,0.001431311603340511,0.08852557350604608
group_19644,0.013116000393429214,0.0029761786412534287,0.0022825564622912875,0.0019172304940363425,0.0016306185960811976,0.005231841639870077,0.023939620858463767,0.002052872785807131,0.00217078530284877,0.0024547811429829515,0.0016561924504484855,0.0009082382803531271,0.01363155325416426,0.0011273480086798234,0.002254334983064586,0.0008172995245621745,0.0006425564267043717,0.07881000924504099
