No.,Model,Accuracy,F1 Score,Recall,Precision,ROC AUC,Training Time (s)
1,Random Forest,0.9940476190476191,0.9943161475116362,0.9940476190476191,0.9955357142857143,0.9996609403254972,16.92193913459778
2,Decision Tree,0.9880952380952381,0.98729451834715,0.9880952380952381,0.9894034536891679,0.9937084520417853,12.43446946144104
3,KNN,0.9880952380952381,0.9894039727180546,0.9880952380952381,0.9928571428571429,0.9969405186316952,3.373026132583618
4,SVM (Linear),0.9940476190476191,0.9943161475116362,0.9940476190476191,0.9955357142857143,0.9945750452079567,631.6529176235199
5,SVM (RBF),0.9880952380952381,0.9894039727180546,0.9880952380952381,0.9928571428571429,0.9892278948403297,1018.381105184555
6,GaussianNB,0.9702380952380952,0.9681239162331599,0.9702380952380952,0.9739906832298136,0.979121278140886,18.055657625198364
7,Gradient Boosting,0.9880952380952381,0.9877968731352189,0.9880952380952381,0.9910714285714286,0.9997739602169983,2588.3916852474213
8,XGBoost,0.9702380952380952,0.970608143989968,0.9702380952380952,0.9799107142857143,0.9998547535530913,148.59630966186523
9,AdaBoost,0.16666666666666666,0.11785574563989723,0.16666666666666666,0.12012066731454488,0.9789799842765615,58.73636484146118
10,MLP Classifier,0.9821428571428571,0.981674424155627,0.9821428571428571,0.9866071428571429,0.9945750452079567,72.21269226074219
