No.,Model,Mean ROC AUC,Std ROC AUC,Scores
1,Random Forest,0.998577699,0.00166163,"[np.float64(0.99630159), np.float64(0.99680736), np.float64(0.99977954), np.float64(1.0), np.float64(1.0)]"
2,Decision Tree,0.988982024,0.004384915,"[np.float64(0.99079309), np.float64(0.99079686), np.float64(0.99382339), np.float64(0.98085753), np.float64(0.98863925)]"
3,Gradient Boosting,0.999895509,0.000147873,"[np.float64(1.0), np.float64(0.99985592), np.float64(1.0), np.float64(1.0), np.float64(0.99962163)]"
4,XGBoost,0.99988911,8.876e-05,"[np.float64(0.99984737), np.float64(0.99974747), np.float64(0.99988884), np.float64(1.0), np.float64(0.99996186)]"
5,AdaBoost,0.998049643,0.002227852,"[np.float64(0.99580059), np.float64(0.99992369), np.float64(0.99489271), np.float64(0.99966937), np.float64(0.99996186)]"
6,SVM (RBF),0.99499794,0.003433311,"[np.float64(0.99764854), np.float64(0.99044187), np.float64(0.99426808), np.float64(1.0), np.float64(0.99263122)]"
7,SVM (Linear),0.997553549,0.001823411,"[np.float64(0.99946581), np.float64(0.99671584), np.float64(0.99559083), np.float64(1.0), np.float64(0.99599527)]"
8,KNN,0.996283884,0.001249232,"[np.float64(0.99378666), np.float64(0.99691358), np.float64(0.99683544), np.float64(0.99695122), np.float64(0.99693252)]"
9,GaussianNB,0.979411321,0.009777793,"[np.float64(0.99198107), np.float64(0.96823685), np.float64(0.97904314), np.float64(0.9887592), np.float64(0.96903634)]"
10,MLP Classifier,0.998952695,0.001163166,"[np.float64(0.99679851), np.float64(0.99874333), np.float64(0.99985303), np.float64(1.0), np.float64(0.99936861)]"
