,ST10,ST101,ST1193,ST12,ST127,ST131,ST167,ST38,ST405,ST410,ST44,ST58,ST617,ST648,ST69,ST73,ST95
Escherichia_coli_ampC1_beta-lactamase,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
feoB,100.0,0.0,0.0,100.0,0.0,98.48484848484848,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,90.0,0.0
group_19644,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
group_21874,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,90.0,0.0
group_23446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
group_26088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
group_27895,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,90.0,100.0
group_28543,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_30504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
group_32683,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_37334,0.0,0.0,0.0,100.0,0.0,0.0,0.0,90.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,90.0,0.0
group_40319,0.0,0.0,100.0,0.0,0.0,98.48484848484848,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0
group_41044,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
group_45719,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
group_45847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
group_9882,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,90.0,100.0
hypF,100.0,100.0,0.0,0.0,0.0,98.48484848484848,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0
shuT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
xylB_1,0.0,0.0,0.0,100.0,0.0,98.48484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.0,100.0
yagU_1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
