Model,Accuracy,F1 Score,Recall,Precision,ROC AUC,Log Loss,Training Time (s)
Random Forest,0.9880952380952381,0.9894039727180546,0.9880952380952381,0.9928571428571429,0.9998869801084991,0.06354893386044631,2.6765737533569336
Decision Tree,0.35714285714285715,0.325,0.35714285714285715,0.32330827067669177,0.8130812703729837,1.490973820335292,4.996326684951782
KNN,0.9880952380952381,0.9884600951670341,0.9880952380952381,0.9900412087912089,0.9969696969696971,0.2238983145219238,1.4497199058532715
SVM (Linear),0.9940476190476191,0.9943161475116362,0.9940476190476191,0.9955357142857143,0.9958936106088006,0.2740668119937328,279.88208985328674
SVM (RBF),0.9880952380952381,0.9894039727180546,0.9880952380952381,0.9928571428571429,0.9909406800694962,0.32990076648730515,586.919798374176
GaussianNB,0.9702380952380952,0.9681239162331599,0.9702380952380952,0.9739906832298136,0.979121278140886,1.0727277794380108,2.626227617263794
Gradient Boosting,0.9880952380952381,0.9877968731352189,0.9880952380952381,0.9910714285714286,0.999924653405666,0.12109085086774513,3124.940003156662
XGBoost,0.9702380952380952,0.970608143989968,0.9702380952380952,0.9799107142857143,0.9998529379725047,0.09429870375606161,245.4066879749298
AdaBoost,0.5952380952380952,0.5706812147361434,0.5952380952380952,0.5743243243243243,0.982363514365299,2.829323057981246,146.54893898963928
MLP Classifier,0.9940476190476191,0.9943161475116362,0.9940476190476191,0.9955357142857143,0.999924653405666,0.1006583444695044,53.99787712097168
