Isolate ID,Host,Collection date,Size (Mb),Scaffolds,GC Content,CDS,Host disease,Level,BioProject Accession,BioSample Accession,Assembly Accession,Location,Isolation source,Isolation type,Additional Metadata
228,Homo sapiens,	2017-12-19,4.98719,120.0,50.7,4587.0,Acute pyelonephritis. Acute cystitis,Contig,PRJNA907306,SAMN31972444,GCA_026735325.1,Russia: Saratov,urine,clinical,
508,Homo sapiens,2017-12-21,5.24507,170.0,50.6,4936.0,Acute pyelonephritis. Acute cystitis.,Contig,PRJNA907312,SAMN31972640,GCA_026735455.1,Russia: Saratov,urine,clinical,
536,Homo sapiens,,4.9,1.0,50.5,4629.0,,Complete,PRJNA16235,SAMN02604181,GCA_000013305.1,,,,
779,Homo sapiens,2016-11-03 00:00:00,5.66788,9.0,50.3516,5269.0,urinary tract infection,Complete,PRJNA776738,SAMN22826253,GCA_023024425.1,China: Zhejiang,urine,Clinical,
4710,Homo sapiens,2018-02-03,5.22733,205.0,50.4,4806.0,Acute cystitis,Contig,PRJNA908226,SAMN32032026,GCA_026800015.1,Russia: Saratov,urine,clinical,
6285,Homo sapiens,2017,5.03792,137.0,50.5,4333.0,UTI,Contig,PRJNA746954,SAMN20300518,GCA_019509355.1,Spain,urine,clinical,
7655,Homo sapiens,2017,5.29746,160.0,50.7,4668.0,UTI,Contig,PRJNA746954,SAMN20299442,GCA_019508955.1,Spain,urine,clinical,
8686,Homo sapiens,2017,4.79385,96.0,50.8,4115.0,UTI,Contig,PRJNA746954,SAMN20257617,GCA_019508785.1,Spain,urine,clinical,
9602,Homo sapiens,2017,4.88955,108.0,50.6,4297.0,UTI,Contig,PRJNA746954,SAMN20302661,GCA_019509585.1,Spain,urine,clinical,
10926,Homo sapiens,2017-03-28,4.99866,140.0,50.6,4690.0,Chronic cystitis,Contig,PRJNA907976,SAMN32017003,GCA_026799695.1,Russia: Saratov,urine,clinical,
13KWH46,Homo sapiens,2013-05,5.4,6.0,50.5,5268.0,urinary infection,Complete,PRJNA361032,SAMN06219548,GCA_002951715.1,Hong Kong,urine,clinical,
13TMH22,Homo sapiens,2013-05,4.9,3.0,51.0,4842.0,urinary infection,Complete,PRJNA361032,SAMN06219549,GCA_002951755.1,Hong Kong,urine,clinical,
12693,Homo sapiens,2017,5.07282,75.0,50.5,4390.0,UTI,Contig,PRJNA746954,SAMN20302710,GCA_019509565.1,Spain,urine,clinical,
16059,Homo sapiens,2017-06-01,5.23089,138.0,50.8,4925.0,Acute pyelonephritis. Acute cystitis,Contig,PRJNA908227,SAMN32032027,GCA_026799915.1,Russia: Saratov,urine,clinical,
16843,Homo sapiens,2017-06-16 00:00:00,5.16759,1.0,50.4,4564.0,Chronic cystitis,Complete,PRJNA906551,SAMN31927828,GCA_026723745.1,Russia: Saratov,urine,Clinical,
55451,Homo sapiens,2020-01-09,,,,,UTI,Contig,,SAMN35620172,GCA_030279355.1,Czech Republic: University Hospital Brno,urine,clinical,
55989,Homo sapiens,	2016-12-06,5.0,1.0,51.0,4661.0,urinary tract infection,Complete,PRJNA389368,SAMN07196158,GCA_003028695.1,"	Pakistan: Sheikh Zaid Hospital, Lahore",urine,clinical,
57464,Homo sapiens,2020-02-12,,,,,UTI,Contig,,SAMN35620174,GCA_030271095.1,Czech Republic: SurGal clinic Brno,urine,clinical,
59306,Homo sapiens,2020-08-19,,,,,UTI,Contig,,SAMN35620175,GCA_030271135.1,"Czech Republic: University Hospital St. Anne, Brno",urine,clinical,
59401,Homo sapiens,2020-08-11,,,,,UTI,Contig,,SAMN35620178,GCA_030279295.1,Czech Republic: SurGal Clinic Brno,urine,clinical,
59609,Homo sapiens,2020-08-01,,,,,UTI,Contig,,SAMN35620179,GCA_030279275.1,Czech Republic: Chronicare Mund Brno,urine,clinical,
60448,Homo sapiens,2020-10-05,,,,,UTI,Contig,,SAMN35620181,GCA_030271105.1,Czech Republic: Chronicare Mund Brno,urine,clinical,
60730,Homo sapiens,2020-11-02,,,,,UTI,Contig,,SAMN35620183,GCA_030279255.1,Czech Republic: Chronicare Mund Brno,urine,clinical,
60731,Homo sapiens,2020-10-24,,,,,UTI,Contig,,SAMN35620184,GCA_030279235.1,Czech Republic: Chronicare Mund Brno,urine,clinical,
61331,Homo sapiens,2020-12-02,,,,,UTI,Contig,,SAMN35620185,GCA_030279165.1,Czech Republic: Chronicare Mund Brno,urine,clinical,
61464,Homo sapiens,2020-12-10,,,,,UTI,Contig,,SAMN35620186,GCA_030279215.1,Czech Republic: Hospital Pardubickeho kraje a.s.,urine,clinical,
64796,Homo sapiens,2021-05-03,,,,,UTI,Contig,,SAMN35620189,GCA_030271065.1,Czech Republic: Chronicare Mund Brno,urine,clinical,
81009,Homo sapiens,2009-10-25 00:00:00,5.1,2.0,51.0,4822.0,Bacteriuria,Complete,PRJNA383781,SAMN06808253,GCA_002157245.1,"	United Arab Emirates: Tawam Hospital, Al Ain",urine,clinical,male
201609,Homo sapiens,2016-09,5.2,1.0,50.5,4629.0,	recurrent urinary tract infection,Complete,PRJNA602061,SAMN13880799,GCA_010092965.1,"	China: Jiangsu,Xuzhou",urine,clinical,
18070201,Homo sapiens,2018-07-25 00:00:00,5.32003,4.0,50.7444,0.0,urinary tract infection,Complete,PRJNA791532,SAMN24293484,GCA_022760255.1,China,urine,Clinical,
1.EC,Homo sapiens,2011-06-30,5.4901,228.0,50.5,5073.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793235,GCA_015693825.1,Colombia,urine,clinical,
10EC,Homo sapiens,2012-05-20,5.03027,186.0,50.8,4647.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793244,GCA_015693635.1,Colombia,urine,clinical,
11EC,Homo sapiens,2012-05-20,5.27765,133.0,50.7,4865.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793245,GCA_015693625.1,Colombia,urine,clinical,
118UI,Homo sapiens,2009-01-28 00:00:00,5.3,3.0,50.5,5047.0,cystitis,Complete,PRJNA492884,SAMN10112494,GCA_003627855.1,Mexico: Mexico City,urine,clinical,
12EC,Homo sapiens,2012-05-20,5.29758,186.0,50.7,4840.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793246,GCA_015693555.1,Colombia,urine,clinical,
13EC,Homo sapiens,2012-05-20,4.9149,178.0,50.9,4482.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793247,GCA_015693565.1,Colombia,urine,clinical,
14EC,Homo sapiens,2012-11-08,5.17349,136.0,50.8,4790.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793248,GCA_015693595.1,Colombia,urine,clinical,
16EC,Homo sapiens,2017-06-15,5.00799,167.0,50.6,4519.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793250,GCA_015693525.1,Colombia,urine,clinical,
18EC,Homo sapiens,2016-09-14,5.49584,212.0,50.6,5082.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793252,GCA_015693445.1,Colombia,urine,clinical,
2_0,Homo sapiens,2009,5.3,6.0,50.5,5150.0,UTI,Complete,PRJNA413669,SAMN07760925,GCA_003856635.1,Sweden,bacterial isolate,clinical,
20EC,Homo sapiens,2017-03-12,5.25316,230.0,50.8,4843.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793254,GCA_015693475.1,Colombia,urine,clinical,
21EC,Homo sapiens,2017-01-01,4.99355,92.0,50.6,4575.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793255,GCA_015693455.1,Colombia,urine,clinical,
222A040,Homo sapiens,2015-01-31,5.24418,13.0,50.7,4710.0,UTI,Contig,PRJNA614455,SAMN14425186,GCA_016820315.1,Viet Nam,hospital,clinical,
222A118,Homo sapiens,2015-06-05,5.47244,35.0,50.7,5031.0,UTI,Contig,PRJNA614455,SAMN14425220,GCA_020230335.1,Viet Nam,hospital,clinical,
222A120,Homo sapiens,2015-06-05,5.07514,14.0,50.5,4459.0,UTI,Contig,PRJNA614455,SAMN14425221,GCA_020230365.1,Viet Nam,hospital,clinical,
22EC,Homo sapiens,2017-11-11,5.23042,193.0,50.9,4898.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793256,GCA_015693355.1,Colombia,urine,clinical,
23EC,Homo sapiens,2017-08-25,5.04421,144.0,50.7,4643.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793257,GCA_015693335.1,Colombia,urine,clinical,
24EC,Homo sapiens,2017-09-02,5.30088,134.0,50.8,4953.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793258,GCA_015693365.1,Colombia,urine,clinical,
26EC,Homo sapiens,2017-07-15,5.26221,307.0,50.8,4826.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793260,GCA_015693345.1,Colombia,urine,clinical,
28Eco12,Homo sapiens,	2013-09-05,5.4,2.0,50.5,5059.0,urinary tract infection,Complete,PRJNA451184,SAMN08963308,GCA_004759025.1,Colombia,urine,clinical,
2EC,Homo sapiens,2012-05-20,4.86775,178.0,50.8,4438.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793236,GCA_015693755.1,Colombia,urine,clinical,
3EC,Homo sapiens,2012-05-20,5.20733,168.0,50.7,4836.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793237,GCA_015693785.1,Colombia,urine,clinical,
4_0,Homo sapiens,2009,5.4,4.0,50.5,5408.0,UTI,Complete,PRJNA413669,SAMN07760930,GCA_003856615.1,Sweden,bacterial isolate,clinical,
42GP,Homo sapiens,2017,,,,,urinary tract infection,Contig,,SAMN39656144,GCA_036421955.1,Mexico: Puebla,urine sample,clinical,
4EC,Homo sapiens,2012-05-20,5.3211,166.0,50.7,4959.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793238,GCA_015693765.1,Colombia,urine,clinical,
5CRE1,Homo sapiens,2016-01,5.3,3.0,50.5,5111.0,urinary tract infection,Complete,PRJNA384104,SAMN06828737,GCA_002142695.1,Taiwan: Tainan,urine,clinical,
5EC,Homo sapiens,2012-05-20,5.48967,252.0,50.8,5134.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793239,GCA_015693735.1,Colombia,urine,clinical,
6EC,Homo sapiens,2012-05-20,5.21224,199.0,50.7,4719.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793240,GCA_015693725.1,Colombia,urine,clinical,
7EC,Homo sapiens,2012-05-20,5.20131,146.0,50.7,4775.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793241,GCA_015693705.1,Colombia,urine,clinical,
8EC,Homo sapiens,2012-05-20,4.83955,148.0,50.8,4416.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793242,GCA_015693675.1,Colombia,urine,clinical,
9EC,Homo sapiens,2012-05-20,5.15261,145.0,50.8,4764.0,Urinary tract Infection,Contig,PRJNA608731,SAMN16793243,GCA_015693655.1,Colombia,urine,clinical,
A1.S1.126,Homo sapiens,2021-10-13 00:00:00,5.5,3.0,50.5,4918.0,urinary tract infection,Complete,PRJNA1082105,SAMN40199713,GCA_037081985.1,Poland:Olsztyn,urine,Clinical,
A1.S1.160,Homo sapiens,2022-01-05 00:00:00,5.1,4.0,51.0,4556.0,urinary tract infection,Complete,PRJNA1082105,SAMN40199714,GCA_037100245.1,Poland:Olsztyn,urine,Clinical,
A1.S1.18,Homo sapiens,2020-11-07 00:00:00,5.4,4.0,50.5,4900.0,urinary tract infection,Complete,PRJNA1082105,SAMN40199711,GCA_037082015.1,Poland:Olsztyn,urine,Clinical,
A1.S1.65,Homo sapiens,2021-02-24 00:00:00,5.4,3.0,50.5,4785.0,urinary tract infection,Complete,PRJNA1082105,SAMN40199712,GCA_037081975.1,Poland:Olsztyn,urine,Clinical,
A43,Homo sapiens,missing,4.9891,187.0,50.7,4509.0,Urinary tract infection,Contig,PRJNA609897,SAMN14261991,GCA_013607395.1,Spain:Madrid,missing,clinical,
A50,Homo sapiens,missing,4.95182,190.0,50.7,4465.0,Urinary tract infection,Contig,PRJNA609897,SAMN14261992,GCA_013607365.1,Spain:Madrid,missing,clinical,
ABU_83972,Homo sapiens,,5.1,2.0,50.5,4796.0,,Complete,PRJNA38725,SAMN02603258,GCA_000148365.1,,isolate from a young female with long term asymptomatic bacteriuria (ABU),,
APEC_01,Homo sapiens,	2016-12-06,4.60998,1.0,50.8,4200.0,urinary tract infection,Chromosome,PRJNA389368,SAMN07196152,GCA_003028815.1,"	Pakistan: Sheikh Zaid Hospital, Lahore",urine,clinical,
AR_Bank_0346,Homo sapiens,missing,4.88544,3.0,50.6409,4433.0,"Gastroenteritis, diarrhea, UTI, pneumonia, food poisoning",Complete,PRJNA554345,SAMN12263369,GCA_017579865.1,missing,missing,clinical,
AR_Bank_0349,Homo sapiens,missing,5.3,2.0,50.5,4868.0,"Gastroenteritis, diarrhea, UTI, pneumonia, food poisoning",Complete,PRJNA554502,SAMN12272266,GCA_008152105.1,missing,missing,clinical,
AT01,Homo sapiens,2021-01,,,,,Urinary tract infection,Contig,,SAMN40221572,GCA_037198135.1,Thailand: Chiang Mai,urine,clinical,
AT31,Homo sapiens,2021-01,,,,,Urinary tract infection,Contig,,SAMN40221573,GCA_037198115.1,Thailand: Chiang Mai,urine,clinical,
ATCC_700415,Homo sapiens,1992,5.4,2.0,50.5,3883.0,,Complete,PRJNA395376,SAMN07376260,GCA_003491265.1,USA:Taxas,woman with cystitis,clinical,
B2,Homo sapiens,2017-10-30 00:00:00,5.1,407.0,50.5,4911.0,UTI,Contig,PRJNA630338,SAMN14832660,GCA_013240345.1,Pakistan,Vaginal swabs,clinical,
B51,Homo sapiens,missing,3.96747,5955.0,50.4,7705.0,Urinary tract infection,Contig,PRJNA609897,SAMN14262000,GCA_013607275.1,Spain:Madrid,missing,clinical,
BH100_substr.MG2014,Homo sapiens,1974,5.2,3.0,50.5,4914.0,urinary tract infection,Chromosome,PRJNA389912,SAMN07210972,GCA_002763515.3,	Brazil: Belo Horizonte,urine,clinical,
BH100_substr.MG2017,Homo sapiens,1974,5.3,3.0,50.5,5255.0,urinary tract infection,Chromosome,PRJNA389912,SAMN08117235,GCA_002859105.1,	Brazil: Belo Horizonte,urine,clinical,
BH100L_substr.MG2017,Homo sapiens,1974,5.0,1.0,50.5,4824.0,urinary tract infection,Chromosome,PRJNA389912,SAMN08118424,GCA_002887715.1,	Brazil: Belo Horizonte,urine,clinical,
BH100N_substr.MG2014,Homo sapiens,1974,5.1,1.0,50.5,4980.0,urinary tract infection,Chromosome,PRJNA389912,SAMN08272629,GCA_002900305.1,	Brazil: Belo Horizonte,urine,clinical,
BK31464,Homo sapiens,2019-07-09,5.09257,65.0,50.7,4769.0,"bloodstream infection, UTI",Contig,PRJNA546126,SAMN18524135,GCA_022096795.1,Germany: Heidelberg,blood culture,clinical,
BK31926,Homo sapiens,2019-09-21,5.00141,78.0,50.7,4612.0,"bloodstream infection, UTI",Contig,PRJNA546126,SAMN18524136,GCA_022096715.1,Germany: Heidelberg,blood culture,clinical,
BK32599,Homo sapiens,2020-01-14,5.25144,83.0,50.5,4893.0,"bloodstream infection, UTI",Contig,PRJNA546126,SAMN18524137,GCA_022096735.1,Germany: Heidelberg,blood culture,clinical,
BK32884,Homo sapiens,2020-02-26,5.29806,66.0,50.6,4959.0,"bloodstream infection, UTI",Contig,PRJNA546126,SAMN18524138,GCA_022096775.1,Germany: Heidelberg,blood culture,clinical,
BM502,Homo sapiens,2016-08-16,5.4254,17.0,50.2,4900.0,urinary infection,Contig,PRJNA555352,SAMN12313844,GCA_016760405.1,Brazil: Sao Paulo,urine,clinical,
BM716,Homo sapiens,2016-10-03,4.97037,8.0,50.6,4470.0,urinary infection,Contig,PRJNA555352,SAMN12313845,GCA_016760415.1,Brazil: Sao Paulo,urine,clinical,
BR02-DEC,Homo sapiens,2015,5.02575,1.0,50.8,4530.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10621277,GCA_004116835.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR03-DEC,Homo sapiens,2015,5.0386,1.0,50.8,4533.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748446,GCA_004116595.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR07-DEC,Homo sapiens,2015,5.08743,3.0,50.7432,4641.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748581,GCA_004116695.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
BR10-DEC,Homo sapiens,2015,5.09477,6.0,50.7227,4716.0,urinary tract infection,Chromosome,PRJNA511007,SAMN10748585,GCA_004116795.1,"Brazil: Botucatu, Sao Paulo State",urine,clinical,
